,EstimatedTotalProgramFunding,CategoryOfFundingActivity.Element:Text
0,1631246940.0,ACA
1,212420401610.0,AG
2,1157529836.0,AR
3,9992148804.0,BC
4,23627089011.0,CD
5,854046863.0,CP
6,73298796298.0,DPR
7,146350065607.0,ED
8,68900569652.0,ELT
9,76647758479.0,EN
10,78395759069.0,ENV
11,14196491136.0,FN
12,199622359798.0,HL
13,48041529577.0,HO
14,7312210644.0,HU
15,37635819069.0,IIJ
16,2473920296.0,IS
17,33262552830.0,ISS
18,19967367517.0,LJL
19,38115914046.0,NR
20,90342712560.0,O
21,6683254105.0,OZ
22,18414266604.0,RA
23,4840315450.0,RD
24,100921580253.0,ST
25,133971380707.0,T
